Time	Modem-Sleep	Light-Sleep
0.000000	20.902000	1.996000
0.333333	20.130000	1.500000
0.666667	21.547000	1.690000
1.000000	20.139000	1.886000
1.333333	21.026000	1.841000
1.666667	21.595000	1.759000
2.000000	21.026000	1.627000
2.333333	20.578000	1.369000
2.666667	21.370000	1.964000
3.000000	21.160000	1.808000
3.333333	22.699000	2.052000
3.666667	21.297000	1.261000
4.000000	21.816000	1.733000
4.333333	21.626000	1.882000
4.666667	20.897000	1.938000
5.000000	20.730000	1.623000
5.333333	20.450000	1.678000
5.666667	22.046000	1.468000
6.000000	20.251000	1.684000
6.333333	18.863000	1.681000
6.666667	20.381000	1.552000
7.000000	20.582000	1.524000
7.333333	19.388000	1.623000
7.666667	21.040000	1.576000
8.000000	20.284000	1.596000
8.333333	20.989000	1.818000
8.666667	20.852000	1.581000
9.000000	20.456000	1.658000
9.333333	20.941000	1.562000
9.666667	21.686000	1.863000
10.000000	21.301000	1.678000
10.333333	20.400000	1.420000
10.666667	22.121000	1.952000
11.000000	21.644000	1.589000
11.333333	20.731000	1.594000
11.666667	21.538000	1.998000
12.000000	21.969000	1.432000
12.333333	21.037000	1.823000
12.666667	20.771000	1.421000
13.000000	21.920000	2.084000
13.333333	19.949000	1.875000
13.666667	20.895000	1.497000
14.000000	20.623000	1.549000
14.333333	21.057000	1.708000
14.666667	22.338000	1.966000
15.000000	20.991000	2.092000
15.333333	20.675000	1.764000
15.666667	20.747000	1.828000
16.000000	20.514000	1.513000
16.333333	19.723000	1.692000
16.666667	20.209000	2.010000
17.000000	21.637000	2.094000
17.333333	21.883000	1.667000
17.666667	19.940000	23.993000
18.000000	20.222000	21.762000
18.333333	22.255000	21.258000
18.666667	21.126000	22.252000
19.000000	20.870000	23.268000
19.333333	22.134000	20.883000
19.666667	19.406000	23.241000
20.000000	21.454000	23.562000
20.333333	20.988000	21.174000
20.666667	21.412000	62.116000
21.000000	20.041000	62.788000
21.333333	21.893000	62.657000
21.666667	21.445000	63.725000
22.000000	19.852000	63.837000
22.333333	20.908000	62.633000
22.666667	21.752000	62.305000
23.000000	20.824000	63.703000
23.333333	20.665000	63.981000
23.666667	20.161000	1.673000
24.000000	20.892000	1.714000
24.333333	20.119000	2.078000
24.666667	21.596000	1.367000
25.000000	20.934000	1.822000
25.333333	21.076000	1.548000
25.666667	20.946000	1.332000
26.000000	21.015000	1.927000
26.333333	21.913000	1.763000
26.666667	20.873000	1.864000
27.000000	22.062000	1.666000
27.333333	21.881000	1.484000
27.666667	21.360000	1.911000
28.000000	21.106000	1.738000
28.333333	21.047000	1.292000
28.666667	21.101000	1.769000
29.000000	19.519000	1.699000
29.333333	21.792000	1.292000
29.666667	20.819000	1.506000
30.000000	21.744000	1.717000
30.333333	21.792000	1.835000
30.666667	20.406000	1.655000
31.000000	21.034000	1.353000
